"NSE_CODE","M1CLOSE","M1CLOSEDT","M1RET","M3CLOSE","M3CLOSEDT","M3RET","M6CLOSE","M6CLOSEDT","M6RET","M12CLOSE","M12CLOSEDT","M12RET","CLOSE",
"RAJTV",41.58,2025-08-29 00:00:00,2,44.17,2025-05-09 00:00:00,-3.98,0.001,,4240900,0.001,,4240900,42.41,
"RALLIS",348.3,2025-08-29 00:00:00,1.58,376.45,2025-07-31 00:00:00,-6.02,235.26,2025-04-30 00:00:00,50.39,339.05,2024-10-31 00:00:00,4.35,353.8,
"RAMASTEEL",9.9,2025-08-29 00:00:00,4.04,10.96,2025-07-31 00:00:00,-6.02,9.82,2025-04-30 00:00:00,4.89,13.66,2024-10-31 00:00:00,-24.6,10.3,
"RAMCOCEM",1046.8,2025-08-29 00:00:00,1.12,1177.2,2025-07-31 00:00:00,-10.08,943.6,2025-04-30 00:00:00,12.18,886.55,2024-10-31 00:00:00,19.4,1058.5,
"RAMCOIND",306.35,2025-08-29 00:00:00,0.88,293.4,2025-07-31 00:00:00,5.33,228.66,2025-04-30 00:00:00,35.16,243.93,2024-10-31 00:00:00,26.7,309.05,
"RAMKY",545.6,2025-08-29 00:00:00,1.76,587.15,2025-07-31 00:00:00,-5.44,468.45,2025-04-30 00:00:00,18.52,628.85,2024-10-31 00:00:00,-11.71,555.2,
"RAMRAT",715.3,2025-08-29 00:00:00,-0.04,777.35,2025-07-31 00:00:00,-8.02,515.75,2025-04-30 00:00:00,38.63,597,2024-10-31 00:00:00,19.77,715,
"RANASUG",14.25,2025-08-29 00:00:00,-0.14,14.41,2025-07-31 00:00:00,-1.25,13.54,2025-04-30 00:00:00,5.1,20.88,2024-10-31 00:00:00,-31.85,14.23,
"RANEHOLDIN",1503.5,2025-08-29 00:00:00,2.51,1521.3,2025-07-31 00:00:00,1.31,1282.6,2025-04-30 00:00:00,20.17,1869.05,2024-10-31 00:00:00,-17.54,1541.3,
"RATEGAIN",511.8,2025-08-29 00:00:00,5.3,438.45,2025-07-31 00:00:00,22.91,433.8,2025-04-30 00:00:00,24.23,752.5,2024-10-31 00:00:00,-28.39,538.9,
"RATNAMANI",2392.1,2025-08-29 00:00:00,0.35,2648.7,2025-07-31 00:00:00,-9.37,2684.4,2025-04-30 00:00:00,-10.58,3679.95,2024-10-31 00:00:00,-34.77,2400.5,
"RATNAVEER",141.16,2025-08-29 00:00:00,1.75,140.04,2025-07-31 00:00:00,2.56,130.83,2025-04-30 00:00:00,9.78,176.51,2024-08-13 00:00:00,-18.63,143.63,
"RAYMOND",599.6,2025-08-29 00:00:00,0.59,668.6,2025-07-31 00:00:00,-9.79,1527.3,2025-04-30 00:00:00,-60.51,1635.85,2024-10-31 00:00:00,-63.13,603.15,
"RAYMONDLSL",1105.9,2025-08-29 00:00:00,1.05,1148.4,2025-07-31 00:00:00,-2.69,962.2,2025-04-30 00:00:00,16.14,2210.55,2024-10-31 00:00:00,-49.45,1117.5,
"RAYMONDREL",606.65,2025-08-29 00:00:00,1.98,689.6,2025-07-31 00:00:00,-10.29,0.001,,61864900,0.001,,61864900,618.65,
"RBA",79.91,2025-08-29 00:00:00,3.25,81.42,2025-07-31 00:00:00,1.34,81.02,2025-04-30 00:00:00,1.84,90.64,2024-10-31 00:00:00,-8.97,82.51,
"RBLBANK",261.05,2025-08-29 00:00:00,1.47,266.83,2025-07-31 00:00:00,-0.72,200.37,2025-04-30 00:00:00,32.21,169.75,2024-10-31 00:00:00,56.05,264.9,
"RBZJEWEL",137.22,2025-08-29 00:00:00,-0.82,134.16,2025-07-31 00:00:00,1.45,153.31,2025-02-28 00:00:00,-11.23,0.001,,13609900,136.1,
"RCF",148.93,2025-08-29 00:00:00,2.85,152.37,2025-07-31 00:00:00,0.53,136.46,2025-04-30 00:00:00,12.25,161.39,2024-10-31 00:00:00,-5.09,153.17,
"RECLTD",350,2025-08-29 00:00:00,3.11,395.2,2025-07-31 00:00:00,-8.68,420.1,2025-04-30 00:00:00,-14.09,522.6,2024-10-31 00:00:00,-30.94,360.9,
"REDINGTON",240.85,2025-08-29 00:00:00,1.26,250.2,2025-07-31 00:00:00,-2.52,245.71,2025-04-30 00:00:00,-0.74,194.46,2024-10-31 00:00:00,25.42,243.89,
"REDTAPE",122.1,2025-08-29 00:00:00,0.94,128.88,2025-07-31 00:00:00,-4.37,131.65,2025-04-30 00:00:00,-6.38,967.35,2024-10-31 00:00:00,-87.26,123.25,
"REFEX",366.5,2025-08-29 00:00:00,-0.63,432.95,2025-07-31 00:00:00,-15.88,406.4,2025-04-30 00:00:00,-10.38,310.05,2024-08-30 00:00:00,17.46,364.2,
"REGAAL",114.01,2025-08-29 00:00:00,-2.78,0.001,,11083900,0.001,,11083900,0.001,,11083900,110.84,
"REGENCERAM",47.87,2025-08-29 00:00:00,-2.3,50.27,2025-07-31 00:00:00,-6.96,41.19,2025-04-30 00:00:00,13.55,0.001,,4676900,46.77,
"RELAXO",477.6,2025-08-29 00:00:00,2.53,453.85,2025-07-31 00:00:00,7.9,409.8,2025-04-30 00:00:00,19.5,771.9,2024-10-31 00:00:00,-36.56,489.7,
